id,name,calories,ingredients,cuisine,dietType,cookingTime,protein,fat,carbs,fiber,rating,instructions
1868,"Traditional Chettinad Chicken #1868",251,"Egg, Cumin, Yogurt, Garam Masala, Oregano, Spinach","Indian","Non-Veg",70,38,15,40,11,4.1,"1. Start by prepping the Egg and Cumin. 2. Heat a large pan with some oil and sauté the Yogurt. 3. Add the Garam Masala and cook until tender. 4. Mix in the remaining ingredients and simmer for 35 minutes. 5. Garnish with fresh herbs and serve warm."
1869,"Gourmet Dhokla #1869",653,"Beef, Coconut Milk, Chili, Yogurt, Mushroom, Rice, Thyme","Indian","Veg",21,22,22,20,13,3.9,"1. Start by prepping the Beef and Coconut Milk. 2. Heat a large pan with some oil and sauté the Chili. 3. Add the Yogurt and cook until tender. 4. Mix in the remaining ingredients and simmer for 10 minutes. 5. Garnish with fresh herbs and serve warm."
1870,"Quick Chana Masala #1870",631,"Pasta, Beans, Olive Oil, Mushroom","Indian","Non-Veg",66,41,9,87,6,4.7,"1. Start by prepping the Pasta and Beans. 2. Heat a large pan with some oil and sauté the Olive Oil. 3. Add the Mushroom and cook until tender. 4. Mix in the remaining ingredients and simmer for 33 minutes. 5. Garnish with fresh herbs and serve warm."
1871,"Rustic Malai Kofta #1871",309,"Shrimp, Beans, Lamb, Lemon, Onion, Cream, Egg, Coconut Milk","Indian","Veg",66,24,26,67,13,4.2,"1. Start by prepping the Shrimp and Beans. 2. Heat a large pan with some oil and sauté the Lamb. 3. Add the Lemon and cook until tender. 4. Mix in the remaining ingredients and simmer for 33 minutes. 5. Garnish with fresh herbs and serve warm."
1872,"Spicy Paneer Butter Masala #1872",864,"Thyme, Chili, Pasta, Rice, Pork, Lamb, Soy Sauce, Tomato","Indian","Veg",38,10,21,45,13,4.0,"1. Start by prepping the Thyme and Chili. 2. Heat a large pan with some oil and sauté the Pasta. 3. Add the Rice and cook until tender. 4. Mix in the remaining ingredients and simmer for 19 minutes. 5. Garnish with fresh herbs and serve warm."
1873,"Homemade Pani Puri #1873",285,"Cumin, Egg, Lamb, Garlic, Flour, Coriander, Turmeric","Indian","Veg",60,15,11,49,13,4.4,"1. Start by prepping the Cumin and Egg. 2. Heat a large pan with some oil and sauté the Lamb. 3. Add the Garlic and cook until tender. 4. Mix in the remaining ingredients and simmer for 30 minutes. 5. Garnish with fresh herbs and serve warm."
1874,"Classic Dhokla #1874",696,"Coriander, Paneer, Ginger, Chili, Garam Masala, Carrot, Lentils, Coconut Milk","Indian","Veg",29,19,21,41,9,3.7,"1. Start by prepping the Coriander and Paneer. 2. Heat a large pan with some oil and sauté the Ginger. 3. Add the Chili and cook until tender. 4. Mix in the remaining ingredients and simmer for 14 minutes. 5. Garnish with fresh herbs and serve warm."
1875,"Traditional Fish Curry #1875",220,"Pork, Egg, Potato, Tomato, Paneer","Indian","Veg",24,8,8,55,9,3.9,"1. Start by prepping the Pork and Egg. 2. Heat a large pan with some oil and sauté the Potato. 3. Add the Tomato and cook until tender. 4. Mix in the remaining ingredients and simmer for 12 minutes. 5. Garnish with fresh herbs and serve warm."
1876,"Quick Malai Kofta #1876",231,"Flour, Lamb, Cheese, Beans, Pork","Indian","Non-Veg",34,17,38,59,10,4.7,"1. Start by prepping the Flour and Lamb. 2. Heat a large pan with some oil and sauté the Cheese. 3. Add the Beans and cook until tender. 4. Mix in the remaining ingredients and simmer for 17 minutes. 5. Garnish with fresh herbs and serve warm."
1877,"Chef's Special Aloo Gobi #1877",394,"Pork, Potato, Onion, Cheese, Coriander, Basil","Indian","Veg",47,9,22,78,8,3.6,"1. Start by prepping the Pork and Potato. 2. Heat a large pan with some oil and sauté the Onion. 3. Add the Cheese and cook until tender. 4. Mix in the remaining ingredients and simmer for 23 minutes. 5. Garnish with fresh herbs and serve warm."
1878,"Chef's Special Biryani #1878",173,"Lamb, Cumin, Thyme, Chicken, Pork, Cream, Bell Pepper","Indian","Veg",21,12,29,26,8,4.1,"1. Start by prepping the Lamb and Cumin. 2. Heat a large pan with some oil and sauté the Thyme. 3. Add the Chicken and cook until tender. 4. Mix in the remaining ingredients and simmer for 10 minutes. 5. Garnish with fresh herbs and serve warm."
1879,"Homemade Baingan Bharta #1879",730,"Egg, Chili, Sugar, Carrot, Ginger","Indian","Non-Veg",72,41,33,82,8,3.9,"1. Start by prepping the Egg and Chili. 2. Heat a large pan with some oil and sauté the Sugar. 3. Add the Carrot and cook until tender. 4. Mix in the remaining ingredients and simmer for 36 minutes. 5. Garnish with fresh herbs and serve warm."
1880,"Gourmet Prawn Balchao #1880",827,"Honey, Rice, Potato, Olive Oil, Turmeric, Yogurt","Indian","Veg",22,16,9,70,7,3.6,"1. Start by prepping the Honey and Rice. 2. Heat a large pan with some oil and sauté the Potato. 3. Add the Olive Oil and cook until tender. 4. Mix in the remaining ingredients and simmer for 11 minutes. 5. Garnish with fresh herbs and serve warm."
1881,"Healthy Tandoori Chicken #1881",348,"Flour, Mushroom, Honey, Pasta, Beans, Pork, Soy Sauce, Oregano","Indian","Veg",38,13,30,83,10,4.1,"1. Start by prepping the Flour and Mushroom. 2. Heat a large pan with some oil and sauté the Honey. 3. Add the Pasta and cook until tender. 4. Mix in the remaining ingredients and simmer for 19 minutes. 5. Garnish with fresh herbs and serve warm."
1882,"Quick Samosa Chat #1882",852,"Shrimp, Beans, Flour, Milk, Yogurt, Chili, Spinach, Lemon","Indian","Non-Veg",40,46,27,21,6,3.5,"1. Start by prepping the Shrimp and Beans. 2. Heat a large pan with some oil and sauté the Flour. 3. Add the Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 20 minutes. 5. Garnish with fresh herbs and serve warm."
1883,"Rustic Aloo Gobi #1883",333,"Carrot, Rice, Honey, Oregano, Egg","Indian","Non-Veg",71,33,15,65,5,4.7,"1. Start by prepping the Carrot and Rice. 2. Heat a large pan with some oil and sauté the Honey. 3. Add the Oregano and cook until tender. 4. Mix in the remaining ingredients and simmer for 35 minutes. 5. Garnish with fresh herbs and serve warm."
1884,"Traditional Paneer Butter Masala #1884",579,"Potato, Carrot, Cheese, Lentils, Garam Masala, Spinach, Flour","Indian","Veg",59,5,31,78,5,4.2,"1. Start by prepping the Potato and Carrot. 2. Heat a large pan with some oil and sauté the Cheese. 3. Add the Lentils and cook until tender. 4. Mix in the remaining ingredients and simmer for 29 minutes. 5. Garnish with fresh herbs and serve warm."
1885,"Healthy Paneer Butter Masala #1885",119,"Olive Oil, Milk, Mushroom, Flour, Ginger, Honey","Indian","Veg",26,7,14,80,8,4.3,"1. Start by prepping the Olive Oil and Milk. 2. Heat a large pan with some oil and sauté the Mushroom. 3. Add the Flour and cook until tender. 4. Mix in the remaining ingredients and simmer for 13 minutes. 5. Garnish with fresh herbs and serve warm."
1886,"Traditional Rogan Josh #1886",545,"Yogurt, Pasta, Paneer, Beef, Garam Masala, Honey","Indian","Non-Veg",71,45,26,31,9,4.4,"1. Start by prepping the Yogurt and Pasta. 2. Heat a large pan with some oil and sauté the Paneer. 3. Add the Beef and cook until tender. 4. Mix in the remaining ingredients and simmer for 35 minutes. 5. Garnish with fresh herbs and serve warm."
1887,"Chef's Special Chana Masala #1887",374,"Cheese, Pork, Soy Sauce, Turmeric, Oregano","Indian","Veg",38,20,30,25,9,3.7,"1. Start by prepping the Cheese and Pork. 2. Heat a large pan with some oil and sauté the Soy Sauce. 3. Add the Turmeric and cook until tender. 4. Mix in the remaining ingredients and simmer for 19 minutes. 5. Garnish with fresh herbs and serve warm."
1888,"Chef's Special Samosa Chat #1888",382,"Olive Oil, Honey, Potato, Butter, Lentils, Basil, Coriander, Bell Pepper","Indian","Non-Veg",44,48,20,22,3,4.7,"1. Start by prepping the Olive Oil and Honey. 2. Heat a large pan with some oil and sauté the Potato. 3. Add the Butter and cook until tender. 4. Mix in the remaining ingredients and simmer for 22 minutes. 5. Garnish with fresh herbs and serve warm."
1889,"Modern Twist Tandoori Chicken #1889",613,"Garlic, Basil, Onion, Oregano, Potato, Mushroom, Ginger, Bell Pepper","Indian","Veg",62,20,25,48,5,4.0,"1. Start by prepping the Garlic and Basil. 2. Heat a large pan with some oil and sauté the Onion. 3. Add the Oregano and cook until tender. 4. Mix in the remaining ingredients and simmer for 31 minutes. 5. Garnish with fresh herbs and serve warm."
1890,"Rustic Butter Chicken #1890",371,"Spinach, Lentils, Milk, Mushroom, Cream, Onion, Coriander, Chicken","Indian","Veg",74,9,25,47,6,4.0,"1. Start by prepping the Spinach and Lentils. 2. Heat a large pan with some oil and sauté the Milk. 3. Add the Mushroom and cook until tender. 4. Mix in the remaining ingredients and simmer for 37 minutes. 5. Garnish with fresh herbs and serve warm."
1891,"Traditional Tandoori Chicken #1891",750,"Honey, Flour, Onion, Garam Masala, Beans","Indian","Veg",39,7,10,32,11,4.2,"1. Start by prepping the Honey and Flour. 2. Heat a large pan with some oil and sauté the Onion. 3. Add the Garam Masala and cook until tender. 4. Mix in the remaining ingredients and simmer for 19 minutes. 5. Garnish with fresh herbs and serve warm."
1892,"Quick Pani Puri #1892",611,"Tomato, Lemon, Egg, Cheese, Sugar","Indian","Non-Veg",32,39,11,33,11,4.1,"1. Start by prepping the Tomato and Lemon. 2. Heat a large pan with some oil and sauté the Egg. 3. Add the Cheese and cook until tender. 4. Mix in the remaining ingredients and simmer for 16 minutes. 5. Garnish with fresh herbs and serve warm."
1893,"Healthy Samosa Chat #1893",538,"Olive Oil, Cream, Pork, Garam Masala, Beans, Flour","Indian","Non-Veg",25,15,22,32,2,4.4,"1. Start by prepping the Olive Oil and Cream. 2. Heat a large pan with some oil and sauté the Pork. 3. Add the Garam Masala and cook until tender. 4. Mix in the remaining ingredients and simmer for 12 minutes. 5. Garnish with fresh herbs and serve warm."
1894,"Modern Twist Vada Pav #1894",615,"Oregano, Soy Sauce, Basil, Onion, Paneer","Indian","Non-Veg",15,40,9,71,7,4.8,"1. Start by prepping the Oregano and Soy Sauce. 2. Heat a large pan with some oil and sauté the Basil. 3. Add the Onion and cook until tender. 4. Mix in the remaining ingredients and simmer for 7 minutes. 5. Garnish with fresh herbs and serve warm."
1895,"Spicy Tandoori Chicken #1895",329,"Cream, Lemon, Pasta, Garlic, Honey, Potato","Indian","Veg",71,23,20,74,4,5.0,"1. Start by prepping the Cream and Lemon. 2. Heat a large pan with some oil and sauté the Pasta. 3. Add the Garlic and cook until tender. 4. Mix in the remaining ingredients and simmer for 35 minutes. 5. Garnish with fresh herbs and serve warm."
1896,"Traditional Samosa Chat #1896",890,"Lentils, Shrimp, Paneer, Yogurt, Beef, Bell Pepper, Mushroom","Indian","Non-Veg",59,39,16,84,7,3.5,"1. Start by prepping the Lentils and Shrimp. 2. Heat a large pan with some oil and sauté the Paneer. 3. Add the Yogurt and cook until tender. 4. Mix in the remaining ingredients and simmer for 29 minutes. 5. Garnish with fresh herbs and serve warm."
1897,"Classic Palak Paneer #1897",396,"Coconut Milk, Onion, Honey, Yogurt, Lamb, Paneer, Lemon","Indian","Veg",66,24,6,44,12,3.8,"1. Start by prepping the Coconut Milk and Onion. 2. Heat a large pan with some oil and sauté the Honey. 3. Add the Yogurt and cook until tender. 4. Mix in the remaining ingredients and simmer for 33 minutes. 5. Garnish with fresh herbs and serve warm."
1898,"Healthy Kadai Chicken #1898",838,"Thyme, Soy Sauce, Cream, Rice, Ginger, Paneer","Indian","Non-Veg",55,35,23,50,8,4.6,"1. Start by prepping the Thyme and Soy Sauce. 2. Heat a large pan with some oil and sauté the Cream. 3. Add the Rice and cook until tender. 4. Mix in the remaining ingredients and simmer for 27 minutes. 5. Garnish with fresh herbs and serve warm."
1899,"Gourmet Fish Curry #1899",800,"Cumin, Basil, Beef, Oregano, Garlic, Butter, Lentils, Thyme","Indian","Non-Veg",67,25,25,81,7,4.7,"1. Start by prepping the Cumin and Basil. 2. Heat a large pan with some oil and sauté the Beef. 3. Add the Oregano and cook until tender. 4. Mix in the remaining ingredients and simmer for 33 minutes. 5. Garnish with fresh herbs and serve warm."
1900,"Gourmet Fish Curry #1900",870,"Egg, Ginger, Yogurt, Beans, Spinach","Indian","Veg",66,6,36,28,7,4.6,"1. Start by prepping the Egg and Ginger. 2. Heat a large pan with some oil and sauté the Yogurt. 3. Add the Beans and cook until tender. 4. Mix in the remaining ingredients and simmer for 33 minutes. 5. Garnish with fresh herbs and serve warm."
1901,"Homemade Rogan Josh #1901",318,"Spinach, Onion, Milk, Lamb, Bell Pepper","Indian","Non-Veg",31,16,5,89,10,4.6,"1. Start by prepping the Spinach and Onion. 2. Heat a large pan with some oil and sauté the Milk. 3. Add the Lamb and cook until tender. 4. Mix in the remaining ingredients and simmer for 15 minutes. 5. Garnish with fresh herbs and serve warm."
1902,"Traditional Dhokla #1902",745,"Pork, Onion, Paneer, Soy Sauce","Indian","Non-Veg",61,28,32,39,9,4.0,"1. Start by prepping the Pork and Onion. 2. Heat a large pan with some oil and sauté the Paneer. 3. Add the Soy Sauce and cook until tender. 4. Mix in the remaining ingredients and simmer for 30 minutes. 5. Garnish with fresh herbs and serve warm."
1903,"Chef's Special Paneer Butter Masala #1903",210,"Milk, Lamb, Coconut Milk, Pasta, Carrot, Paneer, Thyme","Indian","Non-Veg",64,36,21,57,13,3.7,"1. Start by prepping the Milk and Lamb. 2. Heat a large pan with some oil and sauté the Coconut Milk. 3. Add the Pasta and cook until tender. 4. Mix in the remaining ingredients and simmer for 32 minutes. 5. Garnish with fresh herbs and serve warm."
1904,"Gourmet Palak Paneer #1904",728,"Lamb, Garlic, Coconut Milk, Basil, Turmeric","Indian","Non-Veg",32,17,35,70,6,5.0,"1. Start by prepping the Lamb and Garlic. 2. Heat a large pan with some oil and sauté the Coconut Milk. 3. Add the Basil and cook until tender. 4. Mix in the remaining ingredients and simmer for 16 minutes. 5. Garnish with fresh herbs and serve warm."
1905,"Classic Chana Masala #1905",110,"Pasta, Soy Sauce, Sugar, Bell Pepper, Egg, Turmeric, Lemon, Cream","Indian","Non-Veg",69,22,8,22,7,4.7,"1. Start by prepping the Pasta and Soy Sauce. 2. Heat a large pan with some oil and sauté the Sugar. 3. Add the Bell Pepper and cook until tender. 4. Mix in the remaining ingredients and simmer for 34 minutes. 5. Garnish with fresh herbs and serve warm."
1906,"Spicy Rogan Josh #1906",702,"Cheese, Tomato, Oregano, Olive Oil, Sugar, Soy Sauce, Lamb","Indian","Veg",24,18,35,57,12,4.6,"1. Start by prepping the Cheese and Tomato. 2. Heat a large pan with some oil and sauté the Oregano. 3. Add the Olive Oil and cook until tender. 4. Mix in the remaining ingredients and simmer for 12 minutes. 5. Garnish with fresh herbs and serve warm."
1907,"Quick Biryani #1907",412,"Pork, Milk, Garam Masala, Oregano, Coconut Milk","Indian","Veg",73,15,35,34,8,4.5,"1. Start by prepping the Pork and Milk. 2. Heat a large pan with some oil and sauté the Garam Masala. 3. Add the Oregano and cook until tender. 4. Mix in the remaining ingredients and simmer for 36 minutes. 5. Garnish with fresh herbs and serve warm."
1908,"Classic Baingan Bharta #1908",799,"Oregano, Beans, Honey, Garam Masala, Onion, Coconut Milk, Egg","Indian","Veg",46,18,10,44,11,4.9,"1. Start by prepping the Oregano and Beans. 2. Heat a large pan with some oil and sauté the Honey. 3. Add the Garam Masala and cook until tender. 4. Mix in the remaining ingredients and simmer for 23 minutes. 5. Garnish with fresh herbs and serve warm."
1909,"Spicy Palak Paneer #1909",686,"Shrimp, Butter, Lemon, Basil, Potato, Olive Oil, Pasta","Indian","Non-Veg",74,31,31,85,7,4.2,"1. Start by prepping the Shrimp and Butter. 2. Heat a large pan with some oil and sauté the Lemon. 3. Add the Basil and cook until tender. 4. Mix in the remaining ingredients and simmer for 37 minutes. 5. Garnish with fresh herbs and serve warm."
1910,"Gourmet Dhokla #1910",256,"Lemon, Egg, Pasta, Paneer, Bell Pepper, Shrimp, Cream","Indian","Non-Veg",50,37,23,63,10,5.0,"1. Start by prepping the Lemon and Egg. 2. Heat a large pan with some oil and sauté the Pasta. 3. Add the Paneer and cook until tender. 4. Mix in the remaining ingredients and simmer for 25 minutes. 5. Garnish with fresh herbs and serve warm."
1911,"Modern Twist Fish Curry #1911",737,"Lamb, Cream, Turmeric, Flour, Honey","Indian","Veg",56,21,26,66,8,3.6,"1. Start by prepping the Lamb and Cream. 2. Heat a large pan with some oil and sauté the Turmeric. 3. Add the Flour and cook until tender. 4. Mix in the remaining ingredients and simmer for 28 minutes. 5. Garnish with fresh herbs and serve warm."
1912,"Chef's Special Kadai Chicken #1912",176,"Mushroom, Paneer, Basil, Chili","Indian","Non-Veg",56,47,15,33,4,4.2,"1. Start by prepping the Mushroom and Paneer. 2. Heat a large pan with some oil and sauté the Basil. 3. Add the Chili and cook until tender. 4. Mix in the remaining ingredients and simmer for 28 minutes. 5. Garnish with fresh herbs and serve warm."
1913,"Healthy Aloo Gobi #1913",365,"Garlic, Thyme, Coconut Milk, Coriander, Onion, Ginger, Spinach, Milk","Indian","Veg",19,10,22,84,7,4.7,"1. Start by prepping the Garlic and Thyme. 2. Heat a large pan with some oil and sauté the Coconut Milk. 3. Add the Coriander and cook until tender. 4. Mix in the remaining ingredients and simmer for 9 minutes. 5. Garnish with fresh herbs and serve warm."
1914,"Spicy Samosa Chat #1914",842,"Soy Sauce, Onion, Cumin, Cheese, Spinach, Coriander, Lamb, Olive Oil","Indian","Veg",20,17,26,74,4,3.5,"1. Start by prepping the Soy Sauce and Onion. 2. Heat a large pan with some oil and sauté the Cumin. 3. Add the Cheese and cook until tender. 4. Mix in the remaining ingredients and simmer for 10 minutes. 5. Garnish with fresh herbs and serve warm."
1915,"Gourmet Pani Puri #1915",275,"Honey, Cream, Lamb, Cumin, Chicken, Pork, Garam Masala","Indian","Veg",61,6,39,61,6,4.1,"1. Start by prepping the Honey and Cream. 2. Heat a large pan with some oil and sauté the Lamb. 3. Add the Cumin and cook until tender. 4. Mix in the remaining ingredients and simmer for 30 minutes. 5. Garnish with fresh herbs and serve warm."
1916,"Classic Lamb Vindaloo #1916",856,"Cheese, Lentils, Yogurt, Garlic, Onion, Oregano, Olive Oil","Indian","Veg",19,23,33,81,2,4.5,"1. Start by prepping the Cheese and Lentils. 2. Heat a large pan with some oil and sauté the Yogurt. 3. Add the Garlic and cook until tender. 4. Mix in the remaining ingredients and simmer for 9 minutes. 5. Garnish with fresh herbs and serve warm."
1917,"Healthy Pani Puri #1917",248,"Thyme, Lentils, Milk, Sugar, Lemon, Basil, Soy Sauce","Indian","Veg",61,9,26,36,7,3.7,"1. Start by prepping the Thyme and Lentils. 2. Heat a large pan with some oil and sauté the Milk. 3. Add the Sugar and cook until tender. 4. Mix in the remaining ingredients and simmer for 30 minutes. 5. Garnish with fresh herbs and serve warm."
1918,"Classic Hyderabadi Biryani #1918",218,"Ginger, Olive Oil, Thyme, Bell Pepper, Soy Sauce","Indian","Veg",48,15,30,80,11,4.5,"1. Start by prepping the Ginger and Olive Oil. 2. Heat a large pan with some oil and sauté the Thyme. 3. Add the Bell Pepper and cook until tender. 4. Mix in the remaining ingredients and simmer for 24 minutes. 5. Garnish with fresh herbs and serve warm."
1919,"Quick Dhokla #1919",437,"Beef, Paneer, Tomato, Honey, Soy Sauce, Coconut Milk","Indian","Non-Veg",44,38,36,28,3,4.0,"1. Start by prepping the Beef and Paneer. 2. Heat a large pan with some oil and sauté the Tomato. 3. Add the Honey and cook until tender. 4. Mix in the remaining ingredients and simmer for 22 minutes. 5. Garnish with fresh herbs and serve warm."
1920,"Homemade Fish Curry #1920",873,"Coriander, Chicken, Butter, Sugar","Indian","Non-Veg",70,24,26,35,4,4.0,"1. Start by prepping the Coriander and Chicken. 2. Heat a large pan with some oil and sauté the Butter. 3. Add the Sugar and cook until tender. 4. Mix in the remaining ingredients and simmer for 35 minutes. 5. Garnish with fresh herbs and serve warm."
1921,"Homemade Butter Chicken #1921",862,"Cheese, Basil, Yogurt, Rice, Thyme, Coconut Milk","Indian","Veg",48,5,15,37,4,4.6,"1. Start by prepping the Cheese and Basil. 2. Heat a large pan with some oil and sauté the Yogurt. 3. Add the Rice and cook until tender. 4. Mix in the remaining ingredients and simmer for 24 minutes. 5. Garnish with fresh herbs and serve warm."
1922,"Healthy Samosa Chat #1922",283,"Onion, Chili, Chicken, Cream, Pork, Lamb, Rice, Milk","Indian","Non-Veg",15,17,11,70,12,3.8,"1. Start by prepping the Onion and Chili. 2. Heat a large pan with some oil and sauté the Chicken. 3. Add the Cream and cook until tender. 4. Mix in the remaining ingredients and simmer for 7 minutes. 5. Garnish with fresh herbs and serve warm."
1923,"Healthy Tandoori Chicken #1923",811,"Flour, Garam Masala, Lemon, Paneer, Pork","Indian","Non-Veg",53,19,35,32,11,4.6,"1. Start by prepping the Flour and Garam Masala. 2. Heat a large pan with some oil and sauté the Lemon. 3. Add the Paneer and cook until tender. 4. Mix in the remaining ingredients and simmer for 26 minutes. 5. Garnish with fresh herbs and serve warm."
1924,"Gourmet Chana Masala #1924",710,"Beef, Cheese, Lemon, Tomato, Sugar","Indian","Veg",37,7,17,57,11,4.3,"1. Start by prepping the Beef and Cheese. 2. Heat a large pan with some oil and sauté the Lemon. 3. Add the Tomato and cook until tender. 4. Mix in the remaining ingredients and simmer for 18 minutes. 5. Garnish with fresh herbs and serve warm."
1925,"Rustic Kadai Chicken #1925",312,"Paneer, Potato, Thyme, Yogurt","Indian","Non-Veg",37,42,25,34,10,4.4,"1. Start by prepping the Paneer and Potato. 2. Heat a large pan with some oil and sauté the Thyme. 3. Add the Yogurt and cook until tender. 4. Mix in the remaining ingredients and simmer for 18 minutes. 5. Garnish with fresh herbs and serve warm."
1926,"Gourmet Pani Puri #1926",184,"Mushroom, Yogurt, Onion, Garlic, Carrot","Indian","Non-Veg",70,28,25,38,7,3.5,"1. Start by prepping the Mushroom and Yogurt. 2. Heat a large pan with some oil and sauté the Onion. 3. Add the Garlic and cook until tender. 4. Mix in the remaining ingredients and simmer for 35 minutes. 5. Garnish with fresh herbs and serve warm."
1927,"Quick Prawn Balchao #1927",324,"Lemon, Ginger, Pasta, Paneer, Shrimp","Indian","Veg",63,9,34,60,7,3.8,"1. Start by prepping the Lemon and Ginger. 2. Heat a large pan with some oil and sauté the Pasta. 3. Add the Paneer and cook until tender. 4. Mix in the remaining ingredients and simmer for 31 minutes. 5. Garnish with fresh herbs and serve warm."
1928,"Rustic Mutter Paneer #1928",331,"Pasta, Pork, Chili, Coriander","Indian","Veg",61,16,31,79,8,4.7,"1. Start by prepping the Pasta and Pork. 2. Heat a large pan with some oil and sauté the Chili. 3. Add the Coriander and cook until tender. 4. Mix in the remaining ingredients and simmer for 30 minutes. 5. Garnish with fresh herbs and serve warm."
1929,"Rustic Dhokla #1929",159,"Yogurt, Tomato, Pasta, Shrimp, Rice, Garlic","Indian","Veg",35,5,6,64,12,4.8,"1. Start by prepping the Yogurt and Tomato. 2. Heat a large pan with some oil and sauté the Pasta. 3. Add the Shrimp and cook until tender. 4. Mix in the remaining ingredients and simmer for 17 minutes. 5. Garnish with fresh herbs and serve warm."
1930,"Gourmet Chettinad Chicken #1930",148,"Flour, Rice, Ginger, Oregano, Beans, Chili, Beef, Garam Masala","Indian","Veg",15,12,33,74,8,4.2,"1. Start by prepping the Flour and Rice. 2. Heat a large pan with some oil and sauté the Ginger. 3. Add the Oregano and cook until tender. 4. Mix in the remaining ingredients and simmer for 7 minutes. 5. Garnish with fresh herbs and serve warm."
1931,"Modern Twist Paneer Butter Masala #1931",737,"Olive Oil, Potato, Beans, Spinach","Indian","Veg",45,6,22,89,10,3.7,"1. Start by prepping the Olive Oil and Potato. 2. Heat a large pan with some oil and sauté the Beans. 3. Add the Spinach and cook until tender. 4. Mix in the remaining ingredients and simmer for 22 minutes. 5. Garnish with fresh herbs and serve warm."
1932,"Chef's Special Malai Kofta #1932",561,"Lemon, Olive Oil, Turmeric, Spinach, Basil, Flour","Indian","Non-Veg",72,34,16,69,11,4.5,"1. Start by prepping the Lemon and Olive Oil. 2. Heat a large pan with some oil and sauté the Turmeric. 3. Add the Spinach and cook until tender. 4. Mix in the remaining ingredients and simmer for 36 minutes. 5. Garnish with fresh herbs and serve warm."
1933,"Modern Twist Dhokla #1933",792,"Garam Masala, Olive Oil, Beans, Chili, Egg","Indian","Veg",47,23,16,50,3,3.9,"1. Start by prepping the Garam Masala and Olive Oil. 2. Heat a large pan with some oil and sauté the Beans. 3. Add the Chili and cook until tender. 4. Mix in the remaining ingredients and simmer for 23 minutes. 5. Garnish with fresh herbs and serve warm."
1934,"Gourmet Pav Bhaji #1934",863,"Shrimp, Coconut Milk, Turmeric, Egg, Spinach","Indian","Non-Veg",74,45,16,28,3,3.8,"1. Start by prepping the Shrimp and Coconut Milk. 2. Heat a large pan with some oil and sauté the Turmeric. 3. Add the Egg and cook until tender. 4. Mix in the remaining ingredients and simmer for 37 minutes. 5. Garnish with fresh herbs and serve warm."
1935,"Healthy Kadai Chicken #1935",540,"Chicken, Milk, Onion, Egg, Carrot","Indian","Non-Veg",62,40,15,65,12,4.2,"1. Start by prepping the Chicken and Milk. 2. Heat a large pan with some oil and sauté the Onion. 3. Add the Egg and cook until tender. 4. Mix in the remaining ingredients and simmer for 31 minutes. 5. Garnish with fresh herbs and serve warm."
1936,"Quick Mutter Paneer #1936",751,"Chili, Lamb, Yogurt, Milk","Indian","Non-Veg",46,39,36,74,6,4.3,"1. Start by prepping the Chili and Lamb. 2. Heat a large pan with some oil and sauté the Yogurt. 3. Add the Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 23 minutes. 5. Garnish with fresh herbs and serve warm."
1937,"Chef's Special Rogan Josh #1937",394,"Carrot, Paneer, Oregano, Rice, Milk, Cream, Pasta","Indian","Veg",44,8,33,36,10,4.3,"1. Start by prepping the Carrot and Paneer. 2. Heat a large pan with some oil and sauté the Oregano. 3. Add the Rice and cook until tender. 4. Mix in the remaining ingredients and simmer for 22 minutes. 5. Garnish with fresh herbs and serve warm."
1938,"Chef's Special Vada Pav #1938",732,"Butter, Thyme, Paneer, Milk, Spinach, Turmeric, Pasta","Indian","Non-Veg",58,43,38,39,6,4.9,"1. Start by prepping the Butter and Thyme. 2. Heat a large pan with some oil and sauté the Paneer. 3. Add the Milk and cook until tender. 4. Mix in the remaining ingredients and simmer for 29 minutes. 5. Garnish with fresh herbs and serve warm."
1939,"Modern Twist Dhokla #1939",873,"Cheese, Beans, Honey, Lentils","Indian","Veg",74,18,21,29,11,4.0,"1. Start by prepping the Cheese and Beans. 2. Heat a large pan with some oil and sauté the Honey. 3. Add the Lentils and cook until tender. 4. Mix in the remaining ingredients and simmer for 37 minutes. 5. Garnish with fresh herbs and serve warm."
1940,"Healthy Paneer Butter Masala #1940",440,"Beans, Cream, Lemon, Mushroom, Honey","Indian","Non-Veg",47,45,13,68,12,4.9,"1. Start by prepping the Beans and Cream. 2. Heat a large pan with some oil and sauté the Lemon. 3. Add the Mushroom and cook until tender. 4. Mix in the remaining ingredients and simmer for 23 minutes. 5. Garnish with fresh herbs and serve warm."
1941,"Homemade Kadai Chicken #1941",788,"Potato, Chili, Butter, Coriander, Oregano, Beans, Pasta","Indian","Veg",25,22,37,56,13,3.6,"1. Start by prepping the Potato and Chili. 2. Heat a large pan with some oil and sauté the Butter. 3. Add the Coriander and cook until tender. 4. Mix in the remaining ingredients and simmer for 12 minutes. 5. Garnish with fresh herbs and serve warm."
1942,"Modern Twist Pav Bhaji #1942",404,"Mushroom, Cheese, Paneer, Carrot, Soy Sauce","Indian","Veg",30,9,17,57,2,4.8,"1. Start by prepping the Mushroom and Cheese. 2. Heat a large pan with some oil and sauté the Paneer. 3. Add the Carrot and cook until tender. 4. Mix in the remaining ingredients and simmer for 15 minutes. 5. Garnish with fresh herbs and serve warm."
